trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
125,False,"{'a': 0.2, 'e': 0.49999999999999956}",20,11,-8.970123833374334,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
126,False,"{'a': 0.2, 'e': 0.49599999999999955}",25,0,-47.502568304000775,"{0: 21, 1: 1, 2: 1, 3: 1, 4: 1}",0
127,False,"{'a': 0.2, 'e': 0.49199999999999955}",25,3,-82.11786280646845,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 2}",1
128,False,"{'a': 0.2, 'e': 0.48799999999999955}",20,6,-2.5892834207068423,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
129,False,"{'a': 0.2, 'e': 0.48399999999999954}",20,6,-16.921886285175585,"{0: 10, 1: 1, 2: 3, 3: 0, 4: 0}",1
130,False,"{'a': 0.2, 'e': 0.47999999999999954}",20,7,-11.472288647424756,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 0}",1
131,False,"{'a': 0.2, 'e': 0.47599999999999953}",30,12,-81.70188152451486,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 2}",1
132,False,"{'a': 0.2, 'e': 0.47199999999999953}",25,18,-37.59040516934878,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 1}",1
133,False,"{'a': 0.2, 'e': 0.4679999999999995}",20,6,12.168183700320773,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
134,False,"{'a': 0.2, 'e': 0.4639999999999995}",20,0,-9.462865453844369,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
135,False,"{'a': 0.2, 'e': 0.4599999999999995}",20,14,8.249542069708477,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
136,False,"{'a': 0.2, 'e': 0.4559999999999995}",25,3,4.7818955274236465,"{0: 18, 1: 3, 2: 1, 3: 0, 4: 0}",1
137,False,"{'a': 0.2, 'e': 0.4519999999999995}",25,16,6.426958950013213,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
138,False,"{'a': 0.2, 'e': 0.4479999999999995}",25,7,-46.43233432709367,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 1}",1
139,False,"{'a': 0.2, 'e': 0.4439999999999995}",25,0,-55.54549618023649,"{0: 19, 1: 3, 2: 1, 3: 1, 4: 1}",0
140,False,"{'a': 0.2, 'e': 0.4399999999999995}",20,6,-56.76191804236463,"{0: 10, 1: 2, 2: 0, 3: 1, 4: 1}",1
141,False,"{'a': 0.2, 'e': 0.4359999999999995}",25,17,10.248538572198868,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
142,False,"{'a': 0.2, 'e': 0.4319999999999995}",20,3,-70.40290115807501,"{0: 11, 1: 1, 2: 4, 3: 0, 4: 1}",1
143,False,"{'a': 0.2, 'e': 0.4279999999999995}",25,11,-67.20279252917483,"{0: 8, 1: 1, 2: 4, 3: 0, 4: 1}",1
144,False,"{'a': 0.2, 'e': 0.4239999999999995}",20,0,-40.54313597963404,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
